Taxonomy	Last.taxonomic.level	Species.found.in.Metatranscriptomic.dataset.(Monjot.et.al.2023)	Trophic.modes	Type_1	Type_2	Description_of_mixotrophy	Description_of_endophytic_interaction	Description_of_biotic_interaction_and_pathology	Host.symbiont	References_1	References_2	References_3	References_4	Retained_in_the_analysis
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Amphidomataceae/g_Azadinium	Azadinium	Azadinium spinosum	PHOTO							https://doi.org/10.1080/09670260802578534				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Ceratiaceae/g_Tripos	Tripos	Tripos fusus	MIXO	CM		"unknown, accumulation bodies"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Crypthecodiniaceae/g_Crypthecodinium	Crypthecodinium	Crypthecodinium cohnii	HET											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Goniodomataceae/g_	Goniodomataceae		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Goniodomataceae/g_Gambierdiscus	Gambierdiscus	Gambierdiscus australes + Gambierdiscus excentricus + Gambierdiscus polynesiensis	MIXO	CM		"(G. toxicus: presence of feeding vacuoles, unknown prey)"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Goniodomataceae/g_Pyrodinium	Pyrodinium	Pyrodinium bahamense	PHOTO											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Gonyaulacaceae/g_	Gonyaulacaceae		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Gonyaulacaceae/g_Alexandrium	Alexandrium	Alexandrium affine + Alexandrium andersonii + Alexandrium catenella + Alexandrium fundyense + Alexandrium margalefii + Alexandrium minutum + Alexandrium monilatum + Alexandrium tamarense	MIXO	CM		"(A. andersonii: ingestion of Pyramimonas sp., Teleaulax sp., Heterocapsa rotundata) + (A. catenella: Synechococcus/ ingestion of Skeletonema costatum/ ingestion of small phytoplankton (Jeong et al 2005)/ Ingestion of Skeletonema costatum (Yoo et al 2009)) + (A. minutum: ingestion of Synechococcus)"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Gonyaulacaceae/g_Gonyaulax	Gonyaulax	Gonyaulax spinifera	MIXO	CM		ingestion of Synechococcus				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gonyaulacales/f_Gonyaulacaceae/g_Protoceratium	Protoceratium	Protoceratium reticulatum	MIXO	CM		food vacuoles				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_/g_	Gymnodiniales		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_Gymnodiniaceae/g_	Gymnodiniaceae		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_Gymnodiniaceae/g_Akashiwo	Akashiwo	Akashiwo sanguinea + Akashiwo sp. AP-LIS1	MIXO	CM		"ingestion of ciliates, Isochrysis, Cryptophytes, and various dinophyceae"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_Gymnodiniaceae/g_Amphidinium	Amphidinium	Amphidinium carterae + Amphidinium massartii	MIXO	CM		(A. carterae: ingestion of Skeletonema costatum)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_Gymnodiniaceae/g_Gymnodinium	Gymnodinium	Gymnodinium catenatum	MIXO	CM		"(G. catenatum: ingestion of Synechococcus/food vacuoles containing Amphidinium carterae, unidentified cryptophytes, Heterosigma akashiwo, Isochrysis galbana, Rhodomonas salina, Prorocentrum minimum)"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_Gymnodiniaceae/g_Gyrodinium	Gyrodinium	Gyrodinium dominans	MIXO	CM		(G. flavescens + G. melo + G. vorax: food vacuoles)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_Gymnodiniaceae/g_Togula	Togula	Togula jolla	PHOTO											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_Kareniaceae/g_	Kareniaceae		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_Kareniaceae/g_Karenia	Karenia	Karenia brevis	MIXO	CM		ingestion of Synechococcus				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Gymnodiniales/f_Kareniaceae/g_Karlodinium	Karlodinium	Karlodinium veneficum	MIXO	CM		ingestion of various cryptophytes/ingestion of eubacteria				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Noctilucales/f_Noctilucaceae/g_Noctiluca	Noctiluca	Noctiluca scintillans	MIXO	eSNCM		endosymbionts				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Oxyrrhinales/f_Oxyrrhinaceae/g_Oxyrrhis	Oxyrrhis	Oxyrrhis marina	HET											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Peridiniales/f_/g_	Peridiniales		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Peridiniales/f_Endodiniaceae/g_Brandtodinium	Brandtodinium	Brandtodinium nutricula	PHOTO						Symbiosis with an Radiolaria					Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Peridiniales/f_Heterocapsaceae/g_Heterocapsa	Heterocapsa	Heterocapsa arctica + Heterocapsa rotundata + Heterocapsa triquetra	MIXO	CM		(H. rotundata: ingestion of Skeletonema costatum (Yoo et al 2009)/ Ingestion of prey (Jeong et al 2005)/ ingestion of beads and bacteria (Millette et al 2017))				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Peridiniales/f_Kryptoperidiniaceae/g_	Kryptoperidiniaceae		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Peridiniales/f_Kryptoperidiniaceae/g_Durinskia	Durinskia	Durinskia baltica	MIXO	eSNCM/pSNCM		(D. capensis + D. agilis + D. kwazulunatalensis: endosymbionts)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Peridiniales/f_Kryptoperidiniaceae/g_Kryptoperidinium	Kryptoperidinium	Kryptoperidinium foliaceum	MIXO	pSNCM		reduced endosymbionts				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Peridiniales/f_Pfiesteriaceae/g_Pfiesteria	Pfiesteria	Pfiesteria piscicida	MIXO	pSNCM		harbouring cryptophyte kleptocloroplasts (Burkholder et al 2008)/ presence of plastid-related genes psaA of diatom origin (Jeong et al 2021)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Peridiniales/f_Podolampaceae/g_Lessardia	Lessardia	Lessardia elongata	MIXO	CM						https://doi.org/10.3354/meps13850				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Prorocentrales/f_Prorocentraceae/g_Prorocentrum	Prorocentrum	Prorocentrum micans + Prorocentrum minimum	MIXO	CM		"(P. micans: consumed Isochrysis galbana, Heterosigma akashiwo, Rhodomonas salina and a second unidenitifed cryptophyte species,  Amphidinium carterae, Heterocapsa triquestra, Prorocentrum minimum/ Synechococcus/ Skeletonema)"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Pyrocystales/f_Pyrocystaceae/g_Pyrocystis	Pyrocystis	Pyrocystis lunula	PHOTO											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Suessiales/f_/g_	Suessiales		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Suessiales/f_Suessiaceae/g_	Suessiaceae		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Suessiales/f_Suessiaceae/g_Pelagodinium	Pelagodinium	Pelagodinium beii	MIXO	CM		(Pelagodinium sp.: bacterivory)				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Suessiales/f_Suessiaceae/g_Polarella	Polarella	Polarella glacialis	PHOTO											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Suessiales/f_Symbiodiniaceae/g_	Symbiodiniaceae		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Suessiales/f_Symbiodiniaceae/g_Symbiodinium	Symbiodinium	Symbiodinium kawagutii + Symbiodinium microadriaticum + Symbiodinium sp.	MIXO	CM		"(Symbiodinium sp.: ingestion of heterotrophic bacteria, Synechococcus sp., nanophytoflagellates)"			Symbiosis with corals	https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Syndiniales/f_Amoebophryaceae/g_Amoebophrya	Amoebophrya	Amoebophrya sp.	PARA	Obligate				Intracellular parasite	Dinoflagellata	https://doi.org/10.1016/j.hal.2021.102123	https://doi.org/10.1111/j.1550-7408.2006.00097.x			Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Syndiniales/f_Syndiniaceae/g_Hematodinium	Hematodinium	Hematodinium sp. SG-2012 + Hematodinium sp. SG-2015	PARA	Obligate				Extracellular parasite- Osmotrophy	Crab	https://doi.org/10.1016/j.jip.2023.107918				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Thoracosphaerales/f_Thoracosphaeraceae/g_	Thoracosphaeraceae		NA											Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Thoracosphaerales/f_Thoracosphaeraceae/g_Apocalathium	Apocalathium	Apocalathium aciculiferum	MIXO	CM						https://doi.org/10.3389/fmicb.2021.786094				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Thoracosphaerales/f_Thoracosphaeraceae/g_Scrippsiella	Scrippsiella	Scrippsiella hangoei + Scrippsiella trochoidea	MIXO	CM		"(S. acuminata: ingestion of Isochrysis, Amphidonium, Rhodomonas, Heterosigma, Prorocentrum minimum, Synechococcus)"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_/c_Dinophyceae/o_Thoracosphaerales/f_Thoracosphaeraceae/g_Thoracosphaera	Thoracosphaera	Thoracosphaera heimii	PHOTO							https://doi.org/10.1007/s005310050296				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_/o_/f_/g_	Apicomplexa		PARA	Obligate				Intracellular parasite						Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Aconoidasida/o_/f_/g_	Aconoidasida		PARA	Obligate				Intracellular parasite						Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Aconoidasida/o_Haemosporida/f_Plasmodiidae/g_Plasmodium	Plasmodium	Plasmodium berghei + Plasmodium chabaudi + Plasmodium cynomolgi + Plasmodium falciparum + Plasmodium gallinaceum + Plasmodium gonderi + Plasmodium malariae + Plasmodium ovale + Plasmodium relictum + Plasmodium sp. gorilla clade G2 + Plasmodium yoelii	PARA	Obligate				Intracellular parasite	"malaria / Rodent, insects (mosquito), human, birds"	https://doi.org/10.1016/j.exppara.2006.09.008				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Aconoidasida/o_Piroplasmida/f_/g_	Piroplasmida		PARA	Obligate				Intracellular parasite						Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Aconoidasida/o_Piroplasmida/f_Babesiidae/g_Babesia	Babesia	Babesia bigemina + Babesia bovis + Babesia microti + Babesia ovata + Babesia sp. Xinjiang	PARA	Obligate				Intracellular parasite	Cattle	https://doi.org/10.1186/s13071-020-04469-5				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Aconoidasida/o_Piroplasmida/f_Theileriidae/g_Theileria	Theileria	Theileria annulata + Theileria equi + Theileria orientalis + Theileria parva	PARA	Obligate				Intracellular parasite	Cattle	https://doi.org/10.1016/j.pt.2021.11.001				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_/f_/g_	Conoidasida		PARA	Obligate				Intracellular parasite						Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_/g_	Eucoccidiorida		PARA	Obligate				Intracellular parasite						Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Cryptosporidiidae/g_Cryptosporidium	Cryptosporidium	Cryptosporidium andersoni + Cryptosporidium hominis + Cryptosporidium meleagridis + Cryptosporidium muris + Cryptosporidium parvum + Cryptosporidium ubiquitum	PARA	Obligate				Intracellular parasite	"Cattle, human, rodent"	https://doi.org/10.1186/s12879-014-0555-7				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Eimeriidae/g_	Eimeriidae		PARA	Obligate				Intracellular parasite						Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Eimeriidae/g_Cyclospora	Cyclospora	Cyclospora cayetanensis	PARA	Obligate				Intracellular parasite	Human	https://doi.org/10.1128/CMR.00026-09				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Eimeriidae/g_Eimeria	Eimeria	Eimeria acervulina + Eimeria brunetti + Eimeria maxima + Eimeria necatrix + Eimeria praecox + Eimeria tenella	PARA	Obligate				Intracellular parasite	Birds	https://doi.org/10.1080/03079450903186028				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Sarcocystidae/g_	Sarcocystidae		PARA	Obligate				Intracellular parasite						Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Sarcocystidae/g_Besnoitia	Besnoitia	Besnoitia besnoiti	PARA	Obligate				Intracellular parasite	Cattle	https://doi.org/10.1186/s13071-016-1405-9				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Sarcocystidae/g_Cystoisospora	Cystoisospora	Cystoisospora suis	PARA	Obligate				Intracellular parasite	Mammals	https://doi.org/10.3389/fvets.2015.00068				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Sarcocystidae/g_Hammondia	Hammondia	Hammondia hammondi	PARA	Obligate				Intracellular parasite	Mammals	https://doi.org/10.1073/pnas.1304322110				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Sarcocystidae/g_Neospora	Neospora	Neospora caninum	PARA	Obligate				Intracellular parasite	Mammals	https://doi.org/10.3347/kjp.2003.41.1.1				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eucoccidiorida/f_Sarcocystidae/g_Toxoplasma	Toxoplasma	Toxoplasma gondii	PARA	Obligate				Intracellular parasite	Mammals	https://doi.org/10.1016/s0020-7519(00)00124-7				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eugregarinorida/f_/g_	Eugregarinorida		PARA	Obligate				Intracellular parasite						Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eugregarinorida/f_Gregarinidae/g_Gregarina	Gregarina	Gregarina niphandrodes	PARA	Obligate				Intracellular parasite	Insects	https://doi.org/10.1093/ee/36.4.689				Yes
Eukaryota/d_Alveolata/p_Apicomplexa/c_Conoidasida/o_Eugregarinorida/f_Lecudinidae/g_Lankesteria	Lankesteria	Lankesteria abbotti	PARA	Obligate				Intracellular parasite	Appendicularians	https://doi.org/10.1016/j.protis.2005.10.002				Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_/o_/f_/g_	Ciliophora		NA											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_/o_/f_/g_Cryptocaryon	Cryptocaryon	Cryptocaryon irritans	PARA	Obligate				Epicellular parasite	Fish	https://doi.org/10.1111/raq.12594				Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Armophorea/o_Metopida/f_Metopidae/g_Metopus	Metopus	Metopus es + Metopus fuscus	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Armophorea/o_Metopida/f_Metopidae/g_Nyctotherus	Nyctotherus	Nyctotherus ovalis	HET					Symbiotic						Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Colpodea/o_/f_/g_	Colpodea		NA											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Colpodea/o_Colpodida/f_Colpodidae/g_Colpoda	Colpoda	Colpoda inflata	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Colpodea/o_Cyrtolophosidida/f_Platyophryidae/g_Platyophrya	Platyophrya	Platyophrya macrostoma	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Colpodea/o_Sorogenida/f_Sorogenidae/g_Sorogena	Sorogena	Sorogena stoianovitchae	HET		Epibiont					https://doi.org/10.1111/j.1550-7408.1980.tb04260.x				Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Heterotrichea/o_Heterotrichida/f_/g_	Heterotrichida		NA											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Heterotrichea/o_Heterotrichida/f_Blepharismidae/g_Blepharisma	Blepharisma	Blepharisma japonicum	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Heterotrichea/o_Heterotrichida/f_Climacostomidae/g_Climacostomum	Climacostomum	Climacostomum virens	HET						Symbiosis with an algae					Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Heterotrichea/o_Heterotrichida/f_Condylostomatidae/g_Condylostoma	Condylostoma	Condylostoma magnum	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Heterotrichea/o_Heterotrichida/f_Fabreidae/g_Fabrea	Fabrea	Fabrea salina	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Heterotrichea/o_Heterotrichida/f_Stentoridae/g_Stentor	Stentor	Stentor coeruleus	HET		Epibiont									Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Litostomatea/o_/f_/g_	Litostomatea		NA											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Litostomatea/o_Cyclotrichida/f_Mesodiniidae/g_Mesodinium	Mesodinium	Mesodinium pulex	MIXO	pSNCM		"(M. chamaeleon: Presence of functional cryptophyte plastids and nuclei/ photosynthesis, capture and ingestion of prey/ growth experiments) + (M. coatsi: Presence of cryptophyte plastids, capture and ingestion of prey, growth experiments) + (M. major: Presence of functional cryptophyte plastids and nuclei/ photosynthesis, capture and ingestion of prey/ growth experiments) + (M. rubrum: Presence of functional cryptophyte plastids and nuclei/ photosynthesis, capture and ingestion of prey/ growth experiments)"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Litostomatea/o_Cyclotrichida/f_Mesodiniidae/g_Myrionecta	Myrionecta	Myrionecta rubra	MIXO	pSNCM		"Presence of functional cryptophyte plastids and nuclei/ photosynthesis, capture and ingestion of prey/ growth experiments"				https://doi.org/10.1111/jeu.12972				Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Litostomatea/o_Entodiniomorphida/f_Ophryoscolecidae/g_Entodinium	Entodinium	Entodinium caudatum	HET							https://doi.org/10.1016/j.ygeno.2021.03.014				Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Litostomatea/o_Haptorida/f_Didiniidae/g_Didinium	Didinium	Didinium nasutum	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Litostomatea/o_Haptorida/f_Dileptidae/g_Dileptus	Dileptus	Dileptus margaritifer	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Litostomatea/o_Haptorida/f_Spathidiidae/g_Spathidium	Spathidium	Spathidium sp.	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Litostomatea/o_Pleurostomatida/f_Litonotidae/g_Litonotus	Litonotus	Litonotus pictus	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_/f_/g_	Oligohymenophorea		NA											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_/f_/g_Aristerostoma	Aristerostoma		HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Hymenostomatida/f_/g_	Hymenostomatida		NA											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Hymenostomatida/f_/g_Ichthyophthirius	Ichthyophthirius	Ichthyophthirius multifiliis	PARA	Obligate				Endoparasite (epidermis)	Fish	https://doi.org/10.1016/B978-0-12-812211-2.00040-8	https://doi.org/10.2307/3284065			Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Hymenostomatida/f_Tetrahymenidae/g_Tetrahymena	Tetrahymena	Tetrahymena paravorax + Tetrahymena pigmentosa + Tetrahymena pyriformis + Tetrahymena thermophila	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Peniculida/f_/g_	Peniculida		NA											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Peniculida/f_Parameciidae/g_Paramecium	Paramecium	Paramecium caudatum + Paramecium tetraurelia	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Philasterida/f_/g_	Philasterida		NA											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Philasterida/f_Orchitophryidae/g_Anophryoides	Anophryoides	Anophryoides haemophila	PARA	Facultative				Endoparasite (invade the hepatopancreas hemolymph and gills)	Lobsters	https://www.dfo-mpo.gc.ca/science/aah-saa/diseases-maladies/anhaemlo-eng.html				Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Philasterida/f_Philasteridae/g_Miamiensis	Miamiensis	Miamiensis avidus	PARA	Facultative				Scuticociliatosis (high mortality)	Fish	https://doi.org/10.3354/dao02320	https://doi.org/10.1186/1746-6148-9-10			Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Philasterida/f_Philasteridae/g_Philasterides	Philasterides	Philasterides dicentrarchi	PARA	Facultative				Scuticociliatosis (high mortality)	Fish	https://doi.org/10.3354/dao046047				Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Philasterida/f_Pseudocohnilembidae/g_Pseudocohnilembus	Pseudocohnilembus	Pseudocohnilembus persalinus	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Oligohymenophorea/o_Sessilida/f_Vorticellidae/g_Vorticella	Vorticella	Vorticella convallaria	HET		Epibiont									Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Phyllopharyngea/o_Chlamydodontida/f_Chilodonellidae/g_Chilodonella	Chilodonella	Chilodonella uncinata	PARA	Facultative				parasitize on fish gills and fins	Fish but some species are free living	https://doi.org/10.1186/s13071-023-05695-3	https://doi.org/10.3390/microorganisms10081646			Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Prostomatea/o_Prorodontida/f_Colepidae/g_Tiarina	Tiarina	Tiarina fusa	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Prostomatea/o_Prorodontida/f_Prorodontidae/g_Prorodon	Prorodon	Prorodon teres	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_/f_/g_	Spirotrichea		HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_/f_/g_Protocruzia	Protocruzia	Protocruzia adherens	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_/f_Strombidiidae/g_Strombidium	Strombidium	Strombidium inclinatum + Strombidium rassoulzadegani	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Choreotrichida/f_Strombidinopsidae/g_Strombidinopsis	Strombidinopsis	Strombidinopsis acuminata	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Euplotida/f_Euplotidae/g_	Euplotidae		HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Euplotida/f_Euplotidae/g_Euplotes	Euplotes	Euplotes focardii + Euplotes harpa + Euplotes nobilii	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Euplotida/f_Euplotidae/g_Moneuplotes	Moneuplotes	Moneuplotes crassus	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Sporadotrichida/f_Halteriidae/g_Halteria	Halteria	Halteria grandinella + Halteria sp.	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Sporadotrichida/f_Oxytrichidae/g_	Oxytrichidae		HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Sporadotrichida/f_Oxytrichidae/g_Laurentiella	Laurentiella	Laurentiella strenua	HET											Yes
Eukaryota/d_Alveolata/p_Ciliophora/c_Spirotrichea/o_Sporadotrichida/f_Oxytrichidae/g_Oxytricha	Oxytricha	Oxytricha trifallax	HET											Yes
